KINE 406 & 426 专业词汇表
============================
格式：英文 | 中文释义 | 简要说明
============================

===== KINE 406：运动学习 =====

【核心理论】
Motor Learning | 运动学习 | 练习或经验引起的中枢神经系统相对永久的改变
Motor Control | 运动控制 | 神经系统控制身体运动的能力
Motor Development | 运动发展 | 一生中运动技能的变化过程
Schema Theory | 图式理论 | Schmidt提出的通用响应原则理论
Generalized Motor Program | 广义运动程序 | GMP，存储抽象运动模式的理论
Dynamic Systems Theory | 动力系统理论 | 强调身体、环境、任务相互作用的理论
Dynamical Systems Approach | 动力系统方法 | 非线性的运动协调理论
Constraints-Led Approach | 约束导向方法 | 通过调整约束来优化学习的教学方法
Ecological Psychology | 生态心理学 | 研究有机体与环境直接互动的心理学分支
Bernstein's Problem | Bernstein问题 | 自由度问题，如何控制多余的自由度
Degrees of Freedom Problem | 自由度问题 | 神经系统如何选择和控制无限可能的运动方式
Coordination Dynamics | 协调动力学 | Kelso提出的协调模式自组织理论
HKB Model | HKB模型 | Haken-Kelso-Bunz模型，描述相位转换的理论
Order Parameter | 序参数 | 描述系统整体状态的变量
Control Parameter | 控制参数 | 改变系统行为的参数（如运动频率）
Self-Organization | 自组织 | 系统在没有外部控制下形成有序模式
Bifurcation | 分岔 | 系统行为发生质变的临界点
Phase Transition | 相位转换 | 协调模式突然改变的现象
Attractor | 吸引子 | 系统倾向于稳定的状态
Stability | 稳定性 | 系统抵抗干扰保持当前状态的能力
Flexibility | 灵活性 | 系统适应新环境或任务要求的能力

【技能分类】
Fine Motor Skill | 精细运动技能 | 小肌肉群参与的运动（如写字）
Gross Motor Skill | 粗大运动技能 | 大肌肉群参与的运动（如跑步）
Discrete Skill | 离散技能 | 有明确开始和结束的运动（如投篮）
Serial Skill | 系列技能 | 多个离散技能连接（如体操动作）
Continuous Skill | 连续技能 | 没有明确结束点的运动（如游泳）
Open Skill | 开放性技能 | 环境变化，需要实时调整（如足球）
Closed Skill | 封闭性技能 | 环境稳定，可预先计划（如体操）
Body-Scale Invariant | 身体尺度不变性 | 身体大小改变但运动模式不变的特性
Body-Scale Variant | 身体尺度变异 | 身体大小改变导致运动模式改变的特性
Perceptual-Motor Skill | 感知运动技能 | 需要感知和动作协调的技能
Cognitive Skill | 认知技能 | 涉及思维、记忆、注意力的技能
Motor Skill | 运动技能 | 涉及身体动作执行的技能

【练习类型】
Variable Practice | 变异练习 | 练习同一技能的不同版本
Constant Practice | 恒定练习 | 重复练习完全相同的动作
Random Practice | 随机练习 | 随机顺序练习不同技能
Blocked Practice | 区组练习 | 连续练习同一技能后再换下一个
Serial Practice | 系列练习 | 按固定顺序练习不同技能
Contextual Interference Effect | 情境干扰效应 | 随机练习比区组练习长期效果更好
High CI | 高情境干扰 | 高干扰的练习安排
Low CI | 低情境干扰 | 低干扰的练习安排
Part Practice | 部分练习 | 将整体技能分解为部分分别练习
Whole Practice | 整体练习 | 将技能作为整体进行练习
Progressive Part Practice | 渐进部分练习 | 逐步增加练习部分的数量

【反馈】
Knowledge of Results | 结果知识 | KR，关于运动结果的信息
Knowledge of Performance | 表现知识 | KP，关于运动模式的信息
Intrinsic Feedback | 内在反馈 | 来自身体感觉的反馈
